=== item 5 NO-MOVE proof, label=mini19 at 2026-09-10T09:16:12
176d4279 Sunny Glaze Donuts               stored fin=516b838def5f ppl=34801382f113 | recalc fin=516b838def5f ppl=34801382f113 y1=44136fa355b3 payroll=183322.5 rest=None owner_comp=6318.33 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 75820.0, 'oews_median'), ('Maria Gonzalez', 'Lead Baker', 36550.0, 'oews_median')]
1b7eeb63 Sunny Glaze Donuts               stored fin=516b838def5f ppl=34801382f113 | recalc fin=516b838def5f ppl=34801382f113 y1=44136fa355b3 payroll=183322.5 rest=None owner_comp=6318.33 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 75820.0, 'oews_median'), ('Maria Gonzalez', 'Lead Baker', 36550.0, 'oews_median')]
482b870f Sunny Glaze Donuts               stored fin=3b813be175ce ppl=3ad5f29019e6 | recalc fin=114c38ac4acd ppl=3ad5f29019e6 y1=8fe087149a71 payroll=282042.5 rest=None owner_comp=8349.17 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 100190.0, 'oews_pct75'), ('Maria Gonzalez', 'Lead Baker', 95000.0, 'client_override')]
65e3c466 Ardenwald Cold Storage           stored fin=f593f8267ade ppl=33abb055af64 | recalc fin=f593f8267ade ppl=33abb055af64 y1=2793ef8a98e3 payroll=1335000.0 rest=986000 owner_comp=11250.0 hold=None->None
         roster: [('Marguerite Vasquez-Thorne', 'Founder and General Manager', 135000.0, 'client_override'), ('Dashiell Achebe', 'Operations Director', 118000.0, 'client_override'), ('Priya Ramanathan', 'Maintenance and Refrigeration Lead', 96000.0, 'client_override')]
b4929a89 Sunny Glaze Donuts               stored fin=d3f902a44a56 ppl=3904cbd94aed | recalc fin=d3f902a44a56 ppl=3904cbd94aed y1=44136fa355b3 payroll=92000.0 rest=None owner_comp=3500.0 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 42000.0, 'client_override'), ('Maria Gonzalez', 'Lead Baker', 30000.0, 'client_override'), ('Devon Pratt', 'Barista / Counter Lead', 12000.0, 'client_override'), ('Alex Rivera', 'Counter Associate (part-time)', 8000.0, 'client_override')]
bb793dbb Sunny Glaze Donuts               stored fin=516b838def5f ppl=34801382f113 | recalc fin=516b838def5f ppl=34801382f113 y1=44136fa355b3 payroll=183322.5 rest=None owner_comp=6318.33 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 75820.0, 'oews_median'), ('Maria Gonzalez', 'Lead Baker', 36550.0, 'oews_median')]
c8a6b6b5 Sunny Glaze Donuts               stored fin=516b838def5f ppl=34801382f113 | recalc fin=516b838def5f ppl=34801382f113 y1=44136fa355b3 payroll=183322.5 rest=None owner_comp=6318.33 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 75820.0, 'oews_median'), ('Maria Gonzalez', 'Lead Baker', 36550.0, 'oews_median')]
3201a64c Marchetti & Fen                  stored fin=b61155021646 ppl=2f1d1d7917d7 | recalc fin=8dfa60af8b8e ppl=2f1d1d7917d7 y1=a967eba0a690 payroll=820000.0 rest=523000 owner_comp=24750.0 hold=None->None
         roster: [('Ottoline Marchetti', 'Principal Architect and Co-Owner', 155000.0, 'client_override'), ('Rasheed Fennimore', 'Design Director and Co-Owner', 142000, 'client_override')]
3c2224e1 Northwind Systems, Inc.          stored fin=99bdbaefea0a ppl=74196dc08f1b | recalc fin=8a0d71688faf ppl=74196dc08f1b y1=5cc057331b8d payroll=52202210.0 rest=51350000 owner_comp=71017.5 hold=None->None
         roster: [('Elena Vasquez', 'Co-Founder and CEO', 650000.0, 'client_override'), ('Rajan Mehta', 'Co-Founder and CTO', 202210.0, 'client_override')]

=== census: _owner_wage_conflict_hold carriers, THE RECALC replayed on deep copies (nothing written)
carriers=102 would_retire=0 kept=102 errors=0 carriers_with_two_named_owner_humans=0
  KEPT   ('02824a95', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('450567a0', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('4e24e1f4', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('4e621018', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('4ee97fe8', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('56008b42', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('56920e22', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('575e33b5', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('585768c5', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('58b69288', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('5b4ab8c8', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('5ecf07f3', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('5fea1d38', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('636deb68', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('65ece8d0', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('68181739', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('69a3d93a', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('6a75d387', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('6aa01a3c', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('6f2f6626', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('72fe7eaa', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('75e581d3', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('764fc7d9', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('7aa13148', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('7d1c66e1', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('7ec399ca', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('83473cf4', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('83f3f198', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('8449ca17', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('85ee4b43', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('88bce211', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('8cd787ab', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('8e86761f', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('926c503b', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('95d98a04', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('9939df4c', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('9a2d4cd4', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('9dc16ec8', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('9eb6ba18', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('9ecf233d', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('a285e448', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('a3607479', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('a6f7192a', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('a95ff3c2', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('a9f78487', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('aa0f1f86', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('abe3d3a9', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('ace55f42', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('b5f3b413', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('b68fc81a', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('b7ab59c1', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('b8f40e50', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('b92b7c8e', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('c3cee93b', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('c713559e', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('c7c0e161', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('cb1d1d5e', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('cd7414a1', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('d0746a99', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('d42e324d', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('d7f5fa2d', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('d8e33514', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('d95896b3', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('dea75198', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('decb42d8', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('e042c5ef', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('e2bacc64', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('e4ada2ae', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('e7ed49a1', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('ec99c4b3', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('ecb79822', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('f2b6c209', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('f32f2922', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('f3687b54', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('f43031aa', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('f58a595f', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('fca784f9', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('fea109aa', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
